Wall time,Step,Value
1683280947.7771344,200000,14.989635467529297
1683281568.3018873,400000,16.986083984375
1683282186.8354564,600000,19.42546844482422
1683282494.685204,700000,20.2770938873291
1683283107.587185,900000,21.727519989013672
1683283722.264374,1100000,22.947467803955078
1683284029.704871,1200000,23.50432586669922
1683284336.5586848,1300000,24.314964294433594
1683284643.8032932,1400000,24.889394760131836
1683284950.14956,1500000,25.66621208190918
1683285256.3416417,1600000,26.248632431030273
1683285560.0709763,1700000,26.66482162475586
1683285866.2707355,1800000,27.28163719177246
1683286171.9465313,1900000,27.286457061767578
1683286478.2644603,2000000,27.653430938720703
1683286784.3313775,2100000,28.364429473876953
1683287090.4053352,2200000,28.669191360473633
1683287396.2565024,2300000,28.83794403076172
1683287702.098624,2400000,29.21095848083496
1683288005.2475293,2500000,29.826953887939453
1683288310.738573,2600000,30.268014907836914
1683288921.5501652,2800000,30.973506927490234
1683289838.436495,3100000,32.19450378417969
1683290143.9320102,3200000,32.27172088623047
1683290446.7165935,3300000,32.39200973510742
1683290752.2423794,3400000,32.568702697753906
1683291057.369362,3500000,32.919212341308594
1683291668.145323,3700000,33.25979995727539
1683292583.9693837,4000000,34.0340576171875
1683292886.242608,4100000,34.33453369140625
1683293497.1907723,4300000,35.00538635253906
1683293802.3021195,4400000,35.34218978881836
1683294107.7335694,4500000,35.63744354248047
1683294412.5981033,4600000,35.999263763427734
1683294717.9172466,4700000,36.26125717163086
1683295022.8275647,4800000,36.95060348510742
1683295630.1942399,5000000,36.841182708740234
1683295935.2073667,5100000,37.284366607666016
1683296850.340469,5400000,37.73785400390625
1683297155.1325037,5500000,37.87114334106445
1683297460.5989933,5600000,38.17611312866211
1683297765.881264,5700000,38.419410705566406
1683298067.501198,5800000,38.70576095581055
1683298981.8552678,6100000,39.915435791015625
1683299286.535319,6200000,39.57176208496094
1683299591.3487067,6300000,40.18828582763672
1683299896.4242318,6400000,40.312198638916016
1683300201.6267068,6500000,40.512516021728516
1683300504.2193062,6600000,40.623233795166016
1683300808.998287,6700000,40.9426155090332
1683301114.1177597,6800000,41.30472946166992
1683301419.6367264,6900000,41.572025299072266
1683301725.1564527,7000000,41.376487731933594
1683302335.664611,7200000,41.82862091064453
1683302640.8474178,7300000,41.88044357299805
1683302942.8327384,7400000,42.89630126953125
1683303248.8379495,7500000,42.72739791870117
1683303859.2792568,7700000,43.34623718261719
1683304163.9093919,7800000,43.64704513549805
1683304469.0330057,7900000,43.829612731933594
1683304773.724144,8000000,43.32829666137695
1683305381.008725,8200000,44.40131759643555
1683305686.3669906,8300000,44.25160217285156
1683306296.0796733,8500000,45.134033203125
1683306601.2985163,8600000,44.677310943603516
1683306906.0910325,8700000,44.94430160522461
1683307211.3113215,8800000,45.58381271362305
1683307516.1956055,8900000,46.17069625854492
1683307818.2240937,9000000,45.5825080871582
1683308427.9080436,9200000,45.860347747802734
1683308733.0189414,9300000,46.429656982421875
1683309037.8289526,9400000,46.18780517578125
1683309342.9171374,9500000,46.922393798828125
1683309952.2923067,9700000,47.24301528930664
1683310254.557323,9800000,47.601341247558594
1683310863.9525015,10000000,47.596744537353516
1683311168.5908933,10100000,47.60047912597656
1683311474.0326686,10200000,48.63901138305664
1683311779.0651014,10300000,48.58136749267578
1683312083.3864765,10400000,48.93479537963867
1683312387.8338149,10500000,48.74430465698242
1683312690.4326797,10600000,48.766319274902344
1683312994.782226,10700000,49.48627853393555
1683313909.2328455,11000000,49.19038772583008
1683314214.1430366,11100000,49.836517333984375
1683315125.5780187,11400000,50.904232025146484
1683315734.8868616,11600000,51.0674934387207
1683316039.96675,11700000,51.5563850402832
1683316344.5963566,11800000,52.4944953918457
1683316649.1269338,11900000,52.28852462768555
1683316954.0373623,12000000,52.57122802734375
1683317259.171026,12100000,52.145545959472656
1683317561.1035569,12200000,52.02504348754883
1683318170.6616457,12400000,53.31261444091797
1683318475.9182,12500000,52.951904296875
1683318780.9821653,12600000,53.573211669921875
1683319086.2532704,12700000,53.79234313964844
1683319390.8463156,12800000,53.96181106567383
1683319997.7513888,13000000,55.81911087036133
1683320302.7020314,13100000,54.12351608276367
1683321217.2477,13400000,55.165771484375
1683321521.8256679,13500000,56.237876892089844
1683322131.2610157,13700000,56.02360534667969
1683322433.0014963,13800000,55.827232360839844
1683323042.721621,14000000,56.87907028198242
1683323652.0251489,14200000,57.49062728881836
1683323956.51596,14300000,57.80846405029297
1683324261.2904513,14400000,58.18716812133789
1683324566.0348923,14500000,58.381752014160156
1683324868.3730783,14600000,58.51597595214844
1683325173.5788171,14700000,58.57839584350586
1683325782.723588,14900000,60.88374328613281
1683326087.3269696,15000000,59.77352523803711
1683326391.5453894,15100000,59.9778938293457
1683326695.947069,15200000,59.300113677978516
1683327302.5438488,15400000,60.191749572753906
1683327607.0907927,15500000,60.50407028198242
1683327912.4922674,15600000,60.077056884765625
1683328522.0317616,15800000,60.876285552978516
1683328826.6128807,15900000,61.46351623535156
1683329132.128136,16000000,61.796566009521484
1683329737.84104,16200000,62.936763763427734
1683330042.5615416,16300000,63.162357330322266
1683330651.934355,16500000,64.41356658935547
1683330956.8379903,16600000,63.915523529052734
1683331566.9320881,16800000,65.08293914794922
1683331871.8363664,16900000,66.23609161376953
1683332174.001094,17000000,66.67543029785156
1683332782.6897006,17200000,67.85035705566406
1683333087.9568663,17300000,68.50662994384766
1683333392.097242,17400000,68.03880310058594
1683334001.095222,17600000,68.03368377685547
1683334306.4482045,17700000,68.2281723022461
1683334607.8117034,17800000,70.62415313720703
1683334911.7803752,17900000,69.75140380859375
1683335522.2112257,18100000,68.88560485839844
1683335826.0637343,18200000,71.77003479003906
1683336130.0569234,18300000,72.5428466796875
1683336435.4739828,18400000,74.63121032714844
1683336736.7831686,18500000,73.65792846679688
1683337041.2545502,18600000,74.53945922851562
1683337346.206249,18700000,74.01992797851562
1683337650.9950395,18800000,74.95391082763672
1683337955.6176941,18900000,76.83056640625
1683338564.3922474,19100000,79.2302474975586
1683338868.7877164,19200000,76.50328063964844
1683339780.4323034,19500000,77.55789184570312
1683340997.8523664,19900000,84.5307388305664
1683341302.6306365,20000000,82.19506072998047
1683341908.3270173,20200000,85.632080078125
1683342214.2593522,20300000,83.44027709960938
1683342518.271904,20400000,85.57489013671875
1683343126.7606046,20600000,86.59212493896484
1683343430.9912388,20700000,87.3521499633789
1683343735.3295183,20800000,85.01885223388672
1683344037.7707524,20900000,86.45738220214844
1683344342.1495476,21000000,85.95401763916016
1683345256.0118637,21300000,93.19542694091797
1683345560.9226885,21400000,90.93461608886719
1683345864.444716,21500000,91.07111358642578
1683346169.2964733,21600000,93.04684448242188
1683347079.734321,21900000,93.36022186279297
1683347385.345178,22000000,99.15577697753906
1683347689.6384857,22100000,96.22628784179688
1683347994.6824925,22200000,99.8082275390625
1683348299.0846655,22300000,98.23369598388672
1683348604.4356587,22400000,97.71593475341797
1683349209.3101249,22600000,101.85275268554688
1683349513.5744162,22700000,100.98377227783203
1683349819.5998979,22800000,103.69187927246094
1683350428.713484,23000000,102.69353485107422
1683350733.3932881,23100000,106.38463592529297
1683351034.8113725,23200000,108.48826599121094
1683351340.0297952,23300000,109.00934600830078
1683351643.8519464,23400000,109.1375503540039
1683351949.4882035,23500000,111.69628143310547
1683352253.9294555,23600000,113.29940795898438
1683352864.6357539,23800000,113.72782135009766
1683353168.433654,23900000,112.40106201171875
1683353774.1825755,24100000,122.04401397705078
1683354078.5664392,24200000,117.22736358642578
1683354384.1002028,24300000,115.37076568603516
1683354993.226496,24500000,120.15007781982422
1683355296.9375,24600000,122.20384216308594
1683355599.9878395,24700000,118.12893676757812
1683355904.9995396,24800000,120.41619110107422
1683356210.100775,24900000,124.62972259521484
1683356515.3515801,25000000,124.03833770751953
1683356820.1902215,25100000,124.8851318359375
1683357124.585667,25200000,123.93828582763672
1683357429.8540213,25300000,126.58485412597656
1683357734.9529388,25400000,126.69710540771484
1683358036.5296707,25500000,126.6336669921875
1683358341.9096074,25600000,125.65177917480469
1683359257.4900658,25900000,129.07542419433594
1683359561.717896,26000000,131.85403442382812
1683359866.1496131,26100000,132.48291015625
1683360169.1545289,26200000,133.1709442138672
1683360778.916718,26400000,134.31314086914062
1683361390.2013373,26600000,135.611572265625
1683361999.5149221,26800000,137.44215393066406
1683362606.9046474,27000000,148.15438842773438
1683363218.014753,27200000,136.91424560546875
1683363522.400784,27300000,143.8991241455078
1683363827.7513957,27400000,145.19113159179688
1683364132.6938775,27500000,143.78167724609375
1683364437.315434,27600000,149.7686004638672
1683365045.309613,27800000,140.3128204345703
1683365349.6373966,27900000,148.4657745361328
1683365655.0501237,28000000,148.49671936035156
1683365959.928509,28100000,149.15347290039062
1683366266.1863673,28200000,152.8500518798828
1683366570.6668184,28300000,149.19354248046875
1683366871.8986578,28400000,153.8068389892578
1683367176.514727,28500000,154.7576904296875
1683368701.5972238,29000000,154.87635803222656
1683369310.038066,29200000,108.35939025878906
1683369616.4199064,29300000,110.68169403076172
1683370227.7907684,29500000,118.16868591308594
1683370532.527293,29600000,126.10179901123047
1683370837.7697248,29700000,129.29148864746094
1683371142.7891667,29800000,131.47409057617188
1683371445.655014,29900000,130.19503784179688
1683371750.6937428,30000000,135.56654357910156
1683372057.4898002,30100000,137.75636291503906
1683372362.0081854,30200000,139.3633270263672
1683372668.222193,30300000,140.32362365722656
1683372973.003197,30400000,140.5861053466797
1683373278.4908488,30500000,141.8030242919922
1683374192.8244317,30800000,148.8319854736328
1683374496.854808,30900000,148.7919158935547
1683375108.289596,31100000,150.45277404785156
1683376021.6589417,31400000,159.17198181152344
1683376327.3903322,31500000,160.14584350585938
1683376938.345866,31700000,158.16162109375
1683377243.9538996,31800000,161.09658813476562
1683377548.3435466,31900000,162.11338806152344
1683377855.649654,32000000,161.25439453125
1683378158.4470115,32100000,162.82992553710938
1683378464.3063087,32200000,167.16921997070312
1683378768.6953773,32300000,160.9092254638672
1683379075.213305,32400000,164.6211395263672
1683379380.3006253,32500000,163.35585021972656
1683379686.5375843,32600000,166.82579040527344
1683379991.5289233,32700000,170.0542449951172
1683380296.7498038,32800000,169.35462951660156
1683380600.1160796,32900000,165.80027770996094
1683381211.172871,33100000,168.10699462890625
1683381517.1856568,33200000,168.48353576660156
1683382128.8348925,33400000,169.39166259765625
1683382736.4658198,33600000,173.9192352294922
1683383348.8718917,33800000,174.5912628173828
1683383961.4493988,34000000,171.17555236816406
1683384267.2490728,34100000,176.14886474609375
1683384573.7519627,34200000,174.14804077148438
1683384877.609333,34300000,173.0324249267578
1683385182.7057776,34400000,173.83123779296875
1683385489.1447031,34500000,173.510986328125
1683385794.617179,34600000,177.2696533203125
1683386101.229038,34700000,179.52142333984375
1683386408.7846794,34800000,177.6249542236328
1683386713.4578035,34900000,173.50514221191406
1683387021.3991592,35000000,178.0890655517578
1683387323.8417907,35100000,180.0708770751953
1683387630.1567626,35200000,179.59532165527344
1683387935.372912,35300000,173.0592041015625
1683388240.9742,35400000,176.150146484375
1683388546.8722832,35500000,180.38589477539062
1683389159.5182254,35700000,174.98362731933594
1683389463.3875613,35800000,180.4216766357422
1683389770.169462,35900000,175.37210083007812
1683390074.9567437,36000000,177.4188995361328
1683390381.6489441,36100000,176.50723266601562
1683390688.4802384,36200000,181.3529052734375
1683390995.22462,36300000,181.60708618164062
1683391300.842852,36400000,186.0632781982422
1683391603.9871523,36500000,188.6691131591797
1683391909.1984482,36600000,181.47735595703125
1683392216.0824034,36700000,187.25140380859375
1683392521.985184,36800000,185.99586486816406
1683392827.7502627,36900000,184.26934814453125
1683393439.7768757,37100000,190.15357971191406
1683393746.9476507,37200000,189.9047393798828
1683394356.943271,37400000,187.62506103515625
1683394662.0724409,37500000,190.18296813964844
1683394967.4578087,37600000,185.71620178222656
1683395275.2271826,37700000,189.25115966796875
1683395580.7951047,37800000,188.5138397216797
1683395887.8090484,37900000,188.23452758789062
1683396190.2576525,38000000,187.4170684814453
1683396803.0016944,38200000,192.6412353515625
1683397109.551272,38300000,192.4612579345703
1683397721.6661942,38500000,188.22882080078125
1683398027.8071742,38600000,190.28504943847656
1683398330.8749309,38700000,193.4934844970703
1683398636.9266987,38800000,189.53733825683594
1683398943.592018,38900000,188.74346923828125
1683399554.7618444,39100000,190.18447875976562
1683399861.5490766,39200000,187.2706756591797
1683400167.4811935,39300000,190.4208984375
1683400473.5560548,39400000,188.94154357910156
1683401389.5912464,39700000,194.51568603515625
1683402000.8781548,39900000,197.38829040527344
1683402307.8356166,40000000,193.02137756347656
1683402917.340021,40200000,192.3226776123047
1683403224.4894533,40300000,194.44851684570312
1683403530.3568969,40400000,194.03067016601562
1683404143.1678643,40600000,192.91876220703125
1683404449.867012,40700000,195.71588134765625
1683405062.4355876,40900000,195.6282501220703
1683405670.3007324,41100000,201.60104370117188
1683405977.9375162,41200000,198.7182159423828
1683406899.0703747,41500000,199.0011749267578
1683407204.865343,41600000,202.49545288085938
1683407508.375984,41700000,202.93299865722656
1683408426.633706,42000000,201.24525451660156
1683408732.5428803,42100000,203.90170288085938
1683409038.7647555,42200000,201.02740478515625
1683409345.048194,42300000,202.41006469726562
