Wall time,Step,Value
1683637543.888473,200000,4.93002986907959
1683638184.019345,400000,5.914671897888184
1683638822.8324373,600000,6.330662250518799
1683639141.3042269,700000,6.520199775695801
1683639774.3292775,900000,6.79539680480957
1683640409.6604428,1100000,7.016252040863037
1683640726.9521244,1200000,7.13528299331665
1683641044.2411447,1300000,7.265474796295166
1683641361.533482,1400000,7.319436550140381
1683641678.1516964,1500000,7.436713695526123
1683641995.1401587,1600000,7.530360221862793
1683642308.7374897,1700000,7.613216876983643
1683642625.009612,1800000,7.686729907989502
1683642941.1920547,1900000,7.793159008026123
1683643257.2440825,2000000,7.911043643951416
1683643573.6449523,2100000,7.951295375823975
1683643889.2107563,2200000,8.078563690185547
1683644204.7013853,2300000,8.211929321289062
1683644520.2273934,2400000,8.328953742980957
1683644832.701235,2500000,8.364794731140137
1683645147.864104,2600000,8.453463554382324
1683645778.1223426,2800000,8.562183380126953
1683646722.2507243,3100000,8.815116882324219
1683647036.7807584,3200000,8.960956573486328
1683647350.8517532,3300000,9.029997825622559
1683647662.31589,3400000,9.092363357543945
1683647976.5278788,3500000,9.190878868103027
1683648604.7740102,3700000,9.322789192199707
1683649546.5441818,4000000,9.625432968139648
1683649860.0408401,4100000,9.736546516418457
1683650484.2271268,4300000,9.845890045166016
1683650797.5445902,4400000,9.91342830657959
1683651111.0948076,4500000,10.08527660369873
1683651424.2587192,4600000,10.146958351135254
1683651737.1028674,4700000,10.411348342895508
1683652050.0797698,4800000,10.526365280151367
1683652672.3867707,5000000,10.674968719482422
1683652984.8518612,5100000,10.705405235290527
1683653922.6852524,5400000,10.989204406738281
1683654234.7839403,5500000,10.972196578979492
1683654547.0749004,5600000,11.246502876281738
1683654859.289093,5700000,11.263927459716797
1683655168.6738486,5800000,11.27165412902832
1683656105.6567557,6100000,11.63148021697998
1683656417.948055,6200000,11.511409759521484
1683656729.6839924,6300000,11.67933464050293
1683657041.6731439,6400000,11.716123580932617
1683657353.9604812,6500000,11.727097511291504
1683657663.0923915,6600000,11.821565628051758
1683657974.9558768,6700000,11.961793899536133
