Time,Sample
21,25.76098
22,32.5408
23,33.91467
24,36.8353
25,37.32727
26,38.99155
27,40.21247
28,39.94941
29,39.80457
30,41.34592
31,41.69533
32,44.71608
33,43.25903
34,44.15009
35,40.10041
36,38.25077
37,38.11202
38,37.78459
39,40.32137
40,41.90769
41,44.65612
42,46.23101
43,45.41948
44,44.44072
45,34.89981
46,32.3004
47,30.12839
48,33.29201
49,36.80772
50,38.30999
51,36.70308
52,39.49621
53,39.18986
54,39.58645
55,39.18726
56,38.30936
57,36.83203
58,35.51253
59,34.66014
60,33.91235
61,35.25508
62,37.28314
63,35.25563
64,34.16317
65,36.43288
66,37.24079
67,36.62987
68,38.66996
69,43.03177
70,44.35327
71,45.73852
72,44.93844
73,45.20774
74,45.73157
75,45.31417
76,43.74682
77,46.78693
78,47.42285
79,49.74478
80,51.59807
81,52.87731
82,55.37635
83,53.74141
84,52.33997
85,52.47387
86,52.15025
87,50.14166
88,45.97147
89,48.32404
90,49.96463
91,46.12755
92,46.76761
93,44.94455
94,45.05603
95,48.18694
96,51.72212
97,49.94734
98,46.70235
99,50.98306
100,55.64382
101,51.53717
102,51.70372
103,50.09401
104,49.82873
105,48.93055
106,50.20573
107,44.30499
108,43.07364
109,46.91052
110,48.09073
111,51.19228
112,54.97063
113,58.18559
114,60.02515
115,61.25655
116,61.19361
117,57.2785
118,55.6228
119,56.56828
120,56.67733
