Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
21,0.09934138,0.1404663,0.08541736
22,0.05947137,0.1621842,0.08803216
23,0.03687941,0.1813456,0.09443936
24,0.06320386,0.2016608,0.1071832
25,0.05674037,0.207906,0.1154315
26,0.07690131,0.2084225,0.1167113
27,0.08663501,0.2215297,0.11706
28,0.07870473,0.240098,0.118293
29,0.04103844,0.242066,0.1197684
30,0.05079348,0.2485965,0.1182809
31,0.07137521,0.2540322,0.1166461
32,0.1016345,0.2552956,0.1147104
33,0.1326571,0.2404115,0.1164934
34,0.139354,0.2284129,0.1254891
35,0.1459157,0.2070922,0.1296461
36,0.1714199,0.1830866,0.1297247
37,0.168963,0.185757,0.129672
38,0.1460938,0.2105165,0.1315451
39,0.1413082,0.2126361,0.1269939
40,0.1584907,0.1872627,0.1273069
41,0.1431718,0.1972511,0.1242918
42,0.1349448,0.2387026,0.1234135
43,0.0964385,0.2330288,0.121614
44,0.1249518,0.2021964,0.1253538
45,0.1668181,0.1439247,0.1246144
46,0.2002192,0.08686101,0.1219817
47,0.2250011,0.06846609,0.1194977
48,0.2335013,0.06980198,0.1177501
49,0.2166916,0.07255774,0.1175543
50,0.1897709,0.0924314,0.1194054
51,0.1590389,0.1289276,0.1229009
52,0.1262666,0.166802,0.1205762
53,0.09758025,0.1814926,0.1181657
54,0.08933735,0.1690609,0.1162172
55,0.07971556,0.144264,0.1125037
56,0.07887971,0.113506,0.1138135
57,0.05938859,0.09143985,0.1133576
58,0.0741474,0.0789208,0.1155092
59,0.1219048,0.05969644,0.1140049
60,0.1789264,0.04814212,0.1220232
61,0.1665507,0.0728498,0.1219058
62,0.1545828,0.0701701,0.1164757
63,0.1259889,0.01634421,0.1173533
64,0.1302852,0.04154396,0.1212641
65,0.1352129,0.07920085,0.124508
66,0.1434375,0.1180864,0.1331447
67,0.1613912,0.1313095,0.1437152
68,0.2001855,0.1232955,0.153664
69,0.2032207,0.1214795,0.1629453
70,0.2038577,0.132272,0.1712314
71,0.209399,0.1353197,0.1764807
72,0.2348431,0.1305357,0.1844897
73,0.2210263,0.1181898,0.1869313
74,0.2187189,0.09193789,0.195164
75,0.2406998,0.05725734,0.2072053
76,0.2800991,0.03915159,0.2175454
77,0.2894616,0.03531259,0.2247424
78,0.2876927,0.04694772,0.2290167
79,0.2972293,0.0957089,0.2296027
80,0.3220186,0.1353461,0.2292625
81,0.3158025,0.1220907,0.2221042
82,0.2993132,0.1133247,0.2168105
83,0.3093672,0.1194159,0.2166052
84,0.3005197,0.1301983,0.2186103
85,0.2859554,0.1326112,0.2212953
86,0.2736232,0.1304371,0.2240406
87,0.2755534,0.1339968,0.2217229
88,0.3155432,0.1467454,0.2220537
89,0.2985524,0.1465124,0.219421
90,0.2805262,0.1498189,0.2159536
91,0.2734963,0.1670993,0.2135938
92,0.2743875,0.1893388,0.2086405
93,0.2773653,0.2010424,0.2048289
94,0.2819636,0.2123913,0.2034739
95,0.2778659,0.2224602,0.200979
96,0.2625602,0.2378668,0.1975911
97,0.2616048,0.2594816,0.1929208
98,0.2718292,0.3052731,0.1898497
99,0.2930116,0.3279392,0.1976499
100,0.3334176,0.3441116,0.2028755
101,0.3207351,0.3294077,0.2003571
102,0.2821704,0.3068635,0.2005551
103,0.2618701,0.3228866,0.2060043
104,0.2539923,0.3518179,0.2138551
105,0.2432901,0.3959064,0.2210208
106,0.2270685,0.4214702,0.2275378
107,0.2286819,0.4142667,0.2294753
108,0.2351783,0.4107007,0.2327005
109,0.2353447,0.4393979,0.2419731
110,0.2286293,0.4666466,0.2504375
111,0.2454416,0.4789261,0.2531324
112,0.2615061,0.4820395,0.2607613
113,0.2477528,0.5005038,0.271966
114,0.23316,0.5289914,0.2830993
115,0.2304259,0.5183018,0.2873807
116,0.2228057,0.4835226,0.2922199
117,0.2081136,0.4319696,0.3016309
118,0.1968507,0.3796428,0.3109105
119,0.2092994,0.3716942,0.3255866
120,0.2020733,0.3889581,0.3420652
121,0.2070215,0.4134393,0.3546951
122,0.2101236,0.4215245,0.3680794
123,0.2020382,0.40094,0.3786579
124,0.196167,0.3810874,0.3843506
125,0.1906614,0.3835222,0.3979726
126,0.1989831,0.3962132,0.4097224
127,0.1934335,0.4119658,0.42227
128,0.1878331,0.429373,0.4313073
129,0.2205541,0.4264046,0.4336359
130,0.2565874,0.4231766,0.4384437
131,0.2426511,0.4208401,0.4485441
132,0.2331539,0.4148223,0.4631875
133,0.2314483,0.4087954,0.4713559
134,0.2547104,0.4183563,0.4787436
135,0.2788789,0.3927654,0.4809905
136,0.2994925,0.3792955,0.4828545
137,0.3289246,0.3785853,0.4887937
138,0.3554564,0.3824608,0.4983844
139,0.3634296,0.3812539,0.5021738
140,0.3741867,0.3841379,0.5014312
141,0.3718476,0.3860067,0.5050085
142,0.3802378,0.4008313,0.5107738
143,0.3796678,0.3995763,0.5106008
144,0.375582,0.3982677,0.5145484
145,0.3783563,0.3871326,0.5204409
146,0.4006382,0.3746418,0.5235297
147,0.4085692,0.3861711,0.5244611
148,0.4099578,0.423155,0.5214957
149,0.4190288,0.445723,0.516019
150,0.4309653,0.4616245,0.5113809
151,0.4477753,0.4474918,0.5088981
152,0.4712889,0.4158856,0.5044165
153,0.4780217,0.3946192,0.501507
154,0.4772841,0.3937367,0.5032298
155,0.4755254,0.4031629,0.5038188
156,0.4873767,0.4162768,0.5021257
157,0.4946047,0.4393393,0.5018287
158,0.504572,0.4590206,0.5032051
159,0.5229589,0.4355375,0.5014083
160,0.539059,0.4058214,0.5005403
161,0.5466906,0.3758278,0.5059662
162,0.5512301,0.3603031,0.5152724
163,0.5647588,0.3512771,0.5187454
164,0.5987047,0.3549689,0.5261118
165,0.6252275,0.3334498,0.5364575
166,0.6443172,0.3077705,0.5419303
167,0.6287487,0.3110693,0.5428109
168,0.6217262,0.3089395,0.5400359
169,0.6496788,0.3325075,0.5428723
170,0.7069842,0.3766205,0.5469257
