Frame,mixamorig:LeftHand,mixamorig:RightHand,mixamorig:Head
182,0.603669,0.3194215,0.4822826
183,0.5734401,0.2370344,0.4868979
184,0.53614,0.1996527,0.4853259
185,0.5001088,0.210256,0.4868995
186,0.4839448,0.2239734,0.4899183
187,0.4893501,0.2211483,0.4859744
188,0.4863271,0.214136,0.4794535
189,0.490135,0.2256262,0.4780913
190,0.5178484,0.2576467,0.4762053
191,0.5509835,0.2865992,0.4711736
192,0.5550874,0.3155781,0.4652429
193,0.5545472,0.3429863,0.4606954
194,0.5447992,0.3612441,0.4646142
195,0.5045078,0.3522661,0.4639598
196,0.465576,0.3474506,0.4601586
197,0.45847,0.3579474,0.4663719
198,0.446914,0.3870295,0.4738018
199,0.4324779,0.4088351,0.4762277
200,0.4317877,0.4349965,0.478741
201,0.4341631,0.4573561,0.4824418
202,0.4477483,0.4742759,0.4866573
203,0.4585533,0.4891249,0.487479
204,0.465658,0.5079098,0.4877346
205,0.4623866,0.5307198,0.4868575
206,0.456745,0.5541493,0.4853739
207,0.445651,0.5474764,0.4875979
208,0.4275953,0.5262876,0.4917348
209,0.417704,0.5185029,0.5000058
210,0.4181969,0.5092908,0.5107501
211,0.4162491,0.4951539,0.5170573
212,0.4092991,0.4783248,0.5232238
213,0.4092559,0.4636213,0.5290835
214,0.3941933,0.4585497,0.5297862
215,0.3887737,0.45728,0.5360057
216,0.3993191,0.4778235,0.5503815
217,0.4242937,0.5276873,0.5558151
218,0.4649715,0.5937455,0.5584893
219,0.4721667,0.5811741,0.5552173
220,0.4593674,0.5441366,0.5515496
221,0.4075347,0.5247756,0.5567747
222,0.3999024,0.5164939,0.5603936
223,0.4188802,0.544583,0.5628158
224,0.4375517,0.6095238,0.5637754
225,0.3997349,0.6254278,0.5566598
226,0.3743301,0.634133,0.5518868
227,0.3791001,0.6506537,0.5585555
228,0.3721766,0.6853161,0.5673783
229,0.4116736,0.7163042,0.568536
230,0.4439811,0.7237269,0.5712906
231,0.4607325,0.7274645,0.5665462
232,0.4773284,0.7185025,0.5687461
233,0.4882704,0.7101249,0.566938
234,0.5037929,0.7482405,0.5716891
235,0.5169124,0.7346693,0.5786196
236,0.5184401,0.6977224,0.5839089
237,0.5465073,0.6744624,0.5923274
238,0.5881278,0.6788279,0.5980383
239,0.599119,0.6577408,0.6001353
240,0.598641,0.6441899,0.6013466
241,0.5767661,0.6258218,0.6078707
242,0.5428152,0.6006162,0.61586
243,0.5251591,0.5890122,0.619531
244,0.5166076,0.5885221,0.6257531
245,0.4808924,0.5983707,0.6262962
246,0.4678308,0.60243,0.6291744
247,0.4443566,0.593235,0.63017
248,0.4317685,0.5836255,0.6304327
249,0.4367419,0.5553334,0.6358503
250,0.4538789,0.5482824,0.6381522
251,0.4736882,0.5568502,0.641167
252,0.5009977,0.5516071,0.6418408
253,0.5041565,0.5644452,0.6386808
254,0.4866008,0.5808129,0.6368667
255,0.4853887,0.5965203,0.6432953
256,0.4909628,0.6080589,0.6480619
257,0.5192779,0.6231802,0.6513727
258,0.5703982,0.6458945,0.6524402
259,0.5821065,0.6362941,0.6510521
260,0.5740328,0.6121533,0.6483679
261,0.5785589,0.6015359,0.6424189
262,0.591172,0.572951,0.6395563
263,0.5826141,0.5299226,0.6380718
264,0.57713,0.4950384,0.6372083
265,0.5935141,0.4759322,0.6354827
266,0.6201891,0.4584526,0.633496
267,0.6391437,0.4871784,0.6302444
268,0.6612173,0.5488704,0.6330989
269,0.6839405,0.5785312,0.6319856
270,0.736801,0.6024052,0.6323085
271,0.7482918,0.6010861,0.6343172
272,0.7526295,0.6039767,0.6424836
273,0.742153,0.6116644,0.6542812
274,0.7058073,0.6176321,0.667742
275,0.6945136,0.6413611,0.6759343
276,0.711115,0.6544115,0.6828466
277,0.7323233,0.6708866,0.6855636
278,0.7395343,0.6882271,0.6851147
279,0.7399722,0.6698527,0.6899828
280,0.7603858,0.6558768,0.6953559
281,0.7738121,0.6560768,0.7054161
282,0.7724794,0.6602907,0.7150766
283,0.7900196,0.7007905,0.726466
284,0.796316,0.7361258,0.7353348
285,0.7926943,0.7318053,0.7472445
286,0.8260731,0.7032703,0.7615619
287,0.8504003,0.6871434,0.7723353
288,0.8755111,0.6691613,0.7813854
289,0.8831049,0.6777463,0.7920668
290,0.8851594,0.7068741,0.7999184
291,0.8512234,0.7111831,0.8062375
292,0.8004499,0.7148479,0.8192596
293,0.8062878,0.7276638,0.830232
294,0.8289918,0.7363319,0.8388256
295,0.8465688,0.7184843,0.8504167
296,0.8642508,0.6883953,0.8604553
297,0.8788577,0.6635229,0.8740776
298,0.8830933,0.6646237,0.8831006
299,0.8736458,0.6978012,0.8877764
300,0.8647634,0.7474737,0.8874386
301,0.8492059,0.7750462,0.8894721
302,0.8414696,0.7834017,0.8948537
303,0.8532796,0.7909499,0.8973291
304,0.8665189,0.7869402,0.8978721
305,0.8540243,0.7996728,0.8964282
306,0.8268533,0.8082645,0.8947693
307,0.8259029,0.8301763,0.8938426
308,0.8155521,0.8604856,0.8931391
309,0.818256,0.8722384,0.8910292
310,0.8061647,0.868522,0.891049
311,0.7930474,0.8717674,0.88529
312,0.04234151,0.1513716,0.1088101
313,0.02934274,0.121526,0.1028903
314,0.01528169,0.1212834,0.1019059
315,0.0881942,0.09975203,0.09596325
316,0.1810578,0.09280351,0.09657177
317,0.1554343,0.1118329,0.09974492
318,0.1394042,0.141386,0.1003822
319,0.09998728,0.1689956,0.099908
320,0.08359735,0.1990542,0.09940288
321,0.1154508,0.2184981,0.1013258
322,0.1456887,0.2250581,0.1060366
323,0.1785038,0.2524196,0.1106452
324,0.2372563,0.2845581,0.1093961
325,0.275575,0.2745662,0.1057943
326,0.2800291,0.2651871,0.1037663
327,0.287918,0.2454784,0.101497
328,0.2990969,0.221051,0.1006357
329,0.315661,0.221253,0.1087074
330,0.3249742,0.2156737,0.1159921
331,0.3360341,0.2214527,0.1211166
332,0.3401671,0.2235744,0.1269259
