Time,Sample
21,25.67333
22,26.06758
23,30.43556
24,31.91135
25,31.5124
26,34.65858
27,38.41985
28,38.66052
29,32.41496
30,33.54467
31,32.35824
32,31.57966
33,36.16052
34,36.89891
35,35.77252
36,35.87109
37,34.31305
38,33.90263
39,36.53926
40,36.95937
41,35.82746
42,37.16677
43,37.53242
44,39.3443
45,40.89321
46,40.48166
47,39.07125
48,41.20385
49,43.44794
50,44.91409
51,45.76448
52,46.18796
53,45.90411
54,45.31148
55,45.77745
56,46.1519
57,44.52967
58,41.88191
59,38.48299
60,36.52257
61,35.24767
62,36.00124
63,33.20388
64,32.40468
65,30.91865
66,32.90111
67,26.65894
68,26.87828
69,33.00455
70,36.07402
71,36.37628
72,36.25906
73,36.3205
74,36.81816
75,37.45775
76,37.95211
77,40.79712
78,41.35163
79,43.17471
80,43.79732
81,40.77963
82,39.78029
83,39.73777
84,39.67305
85,41.84671
86,42.47752
87,42.26797
88,42.8894
89,42.58271
90,43.5
91,42.03434
92,43.27042
93,46.12161
94,46.98275
95,49.77619
96,48.32645
97,44.92204
98,42.89779
99,42.19258
100,42.5131
101,38.33647
102,36.55439
103,35.69963
104,36.61755
105,38.32768
106,38.1971
107,38.87778
108,38.20113
109,40.35724
110,42.05024
111,40.39805
112,40.22432
113,37.99686
114,36.51389
115,30.64485
116,29.67586
117,31.50128
118,35.47067
119,41.10619
120,43.27364
