Time,Sample
21,28.34522
22,26.66138
23,28.54405
24,31.82281
25,32.61224
26,36.70166
27,38.18986
28,36.201
29,34.28145
30,33.65767
31,32.43359
32,31.95727
33,32.05947
34,34.51104
35,35.52108
36,34.34223
37,34.85448
38,37.75705
39,38.44674
40,34.73713
41,35.68099
42,38.13215
43,38.08526
44,40.12121
45,38.12811
46,37.78397
47,36.23486
48,36.3446
49,37.40301
50,37.17291
51,38.66999
52,38.45528
53,37.11668
54,40.24903
55,39.95563
56,41.18976
57,41.5938
58,42.32128
59,41.80805
60,43.83023
61,45.61789
62,44.85034
63,45.92717
64,45.94547
65,46.20135
66,46.30893
67,47.88409
68,51.43834
69,53.12086
70,51.29997
71,53.0302
72,51.53062
73,51.02782
74,53.9903
75,54.80975
76,53.46598
77,53.12886
78,51.26443
79,50.56247
80,49.55394
81,48.3227
82,50.19124
83,50.82423
84,49.51007
85,48.60991
86,47.82739
87,44.33206
88,46.19542
89,45.96778
90,46.79648
91,46.86229
92,45.7209
93,46.80806
94,44.08247
95,44.47087
96,47.28292
97,47.83506
98,41.75432
99,41.69913
100,40.60536
101,40.25546
102,40.2391
103,39.70275
104,41.82528
105,41.93002
106,39.84027
107,39.33045
108,40.93226
109,41.9544
110,43.39661
111,44.91674
112,43.62532
113,44.81224
114,45.8432
115,47.06663
116,49.12835
117,50.94736
118,57.42181
119,59.97852
120,61.47109
