Time,Sample
21,32.44459
22,34.94816
23,36.9266
24,34.2864
25,35.0353
26,31.50452
27,31.39929
28,30.66945
29,28.82123
30,27.30683
31,27.26287
32,26.94236
33,25.17644
34,27.58579
35,29.19256
36,27.69234
37,28.51814
38,32.77751
39,32.73559
40,31.36342
41,33.70063
42,30.73724
43,30.76677
44,35.75259
45,34.32244
46,30.88062
47,30.76591
48,36.00293
49,34.8425
50,31.37574
51,30.88943
52,34.3972
53,33.68293
54,28.90915
55,28.16591
56,32.66965
57,32.44245
58,29.26509
59,28.1183
60,33.54488
61,34.46592
62,36.27308
63,37.80987
64,36.55542
65,39.23393
66,39.46486
67,40.34964
68,37.53897
69,38.54221
70,42.58742
71,44.66547
72,39.6871
73,40.90398
74,46.59187
75,48.18686
76,46.87094
77,47.00396
78,49.08863
79,49.06404
80,49.68939
81,48.66661
82,47.06981
83,46.86319
84,47.32846
85,46.63385
86,46.93317
87,43.26542
88,46.28019
89,45.10715
90,46.3222
91,46.60213
92,46.49245
93,46.68369
94,44.07279
95,44.68107
96,45.12755
97,43.25026
98,43.06543
99,42.49349
100,41.12228
101,41.09703
102,40.11325
103,39.88609
104,38.27768
105,37.16525
106,40.74243
107,39.8972
108,35.74287
109,37.08482
110,37.8089
111,38.00848
112,34.46142
113,34.20031
114,33.06049
115,33.12222
116,34.36441
117,35.4214
118,35.75487
119,36.47778
120,36.53329
