Time,Sample
21,44.80667
22,45.46892
23,47.81642
24,48.73729
25,50.08767
26,47.29284
27,49.5072
28,43.45485
29,39.07952
30,37.83088
31,40.51093
32,44.72638
33,47.2849
34,45.33449
35,43.82233
36,39.02236
37,37.69127
38,36.8688
39,38.0446
40,33.67189
41,35.50142
42,35.03524
43,31.52426
44,31.98424
45,34.26578
46,34.4022
47,35.2678
48,33.0464
49,32.89769
50,31.1159
51,31.78492
52,33.81758
53,32.18518
54,33.06744
55,32.54592
56,31.02995
57,35.18995
58,36.9758
59,38.53165
60,36.20974
61,37.55731
62,38.44161
63,37.43288
64,37.67712
65,37.74868
66,40.15817
67,41.66454
68,41.40601
69,42.34909
70,44.12625
71,47.82092
72,44.1274
73,44.26282
74,40.65177
75,38.89075
76,38.88195
77,37.24363
78,44.58558
79,45.12987
80,44.99225
81,45.34577
82,47.89896
83,46.8002
84,47.51918
85,46.73528
86,44.80865
87,43.23619
88,39.62523
89,36.51659
90,36.40497
91,36.90277
92,36.71733
93,37.52657
94,39.79668
95,41.20608
96,38.71212
97,38.92232
98,37.75425
99,36.38147
100,34.93132
101,37.11367
102,36.11835
103,37.48408
104,43.43175
105,46.70206
106,42.2167
107,37.10741
108,33.97345
109,31.65333
110,31.41385
111,32.47255
112,27.97605
113,27.57746
114,28.20866
115,29.50384
116,23.84693
117,24.00274
118,28.01874
119,29.05976
120,33.26744
