Time,Sample
21,52.60215
22,52.82614
23,59.04869
24,58.42963
25,59.47508
26,61.11177
27,60.52845
28,60.63379
29,56.10944
30,51.6469
31,50.12312
32,50.52481
33,48.36808
34,51.6102
35,51.46356
36,49.70385
37,50.25463
38,46.46388
39,45.13557
40,42.86874
41,41.85372
42,44.25582
43,44.88955
44,45.5985
45,49.03819
46,49.77965
47,50.96968
48,44.63701
49,44.02033
50,45.49054
51,52.53662
52,51.7091
53,54.00598
54,53.48969
55,54.18048
56,56.37374
57,57.13611
58,53.00743
59,50.26563
60,49.33316
61,48.78973
62,51.25552
63,51.93518
64,48.61041
65,46.88769
66,46.67022
67,47.2863
68,49.99087
69,49.22016
70,53.22968
71,54.64763
72,50.68529
73,49.1189
74,50.31973
75,50.82041
76,53.57911
77,50.66419
78,51.57395
79,51.51337
80,50.12645
81,48.35268
82,48.54955
83,45.793
84,46.51563
85,46.76461
86,46.58746
87,47.49813
88,43.2997
89,45.13716
90,44.10209
91,46.3573
92,47.82541
93,44.75625
94,46.86179
95,47.32204
96,43.48182
97,43.44319
98,44.91582
99,43.56898
100,43.73667
101,45.74127
102,41.80516
103,41.9849
104,47.87375
105,49.16256
106,45.43191
107,46.58755
108,39.53833
109,38.66931
110,41.14623
111,42.35094
112,35.9437
113,36.7815
114,40.23539
115,41.94123
116,39.74008
117,39.17537
118,43.27414
119,42.65339
120,48.45533
