Time,Sample
21,33.6634
22,31.18274
23,33.23764
24,36.34357
25,39.44469
26,36.57146
27,38.24361
28,39.53138
29,40.4179
30,37.81033
31,35.57897
32,36.28696
33,37.49611
34,40.09244
35,41.36305
36,36.67419
37,35.01203
38,37.48359
39,37.94565
40,42.29291
41,45.81193
42,45.64847
43,44.49598
44,44.03958
45,43.26245
46,43.70209
47,44.52315
48,44.01195
49,39.80532
50,39.29629
51,38.0835
52,35.63828
53,33.01444
54,31.54526
55,30.4567
56,31.10307
57,31.79976
58,29.95773
59,30.51337
60,33.13732
61,34.80909
62,37.53794
63,38.12856
64,40.96428
65,40.81832
66,39.46082
67,39.25896
68,39.35401
69,40.80536
70,42.33414
71,44.40258
72,42.09256
73,42.44043
74,41.44419
75,43.00492
76,43.90122
77,44.24001
78,42.76989
79,44.83657
80,44.72582
81,43.44218
82,42.98032
83,44.72979
84,44.03513
85,43.69127
86,41.76857
87,41.62263
88,43.61356
89,43.73713
90,42.2115
91,44.23658
92,45.09849
93,44.14186
94,46.34594
95,47.17511
96,48.76215
97,48.89627
98,48.64223
99,48.93856
100,45.79318
101,46.34039
102,45.30826
103,46.29675
104,45.74976
105,45.20516
106,46.53108
107,47.94942
108,45.56644
109,43.30563
110,47.51231
111,49.22567
112,51.41869
113,52.02899
114,48.37204
115,48.02344
116,47.44658
117,47.76602
118,47.54051
119,45.29176
120,46.04918
