Time,Sample
21,38.02849
22,37.32322
23,39.26533
24,44.05356
25,46.26804
26,48.8849
27,51.90902
28,52.27665
29,53.30243
30,54.24438
31,53.39576
32,51.11267
33,51.12798
34,51.72775
35,51.46572
36,47.9087
37,46.79514
38,45.43523
39,44.43338
40,46.258
41,46.02664
42,42.05781
43,39.36293
44,38.35258
45,34.83648
46,37.19456
47,35.71726
48,35.42094
49,34.43771
50,36.01503
51,36.53137
52,41.41877
53,42.13132
54,42.72908
55,42.78724
56,43.90878
57,43.22233
58,39.66933
59,38.47036
60,37.05279
61,37.13957
62,36.80476
63,37.60926
64,36.86377
65,37.10211
66,35.90532
67,35.69878
68,35.98138
69,34.74282
70,37.24728
71,39.4916
72,40.24574
73,42.17924
74,40.59153
75,40.32675
76,41.17205
77,41.66732
78,38.41375
79,39.96178
80,38.4141
81,38.64137
82,39.11611
83,40.59074
84,41.83366
85,42.95951
86,41.30548
87,41.08482
88,43.78698
89,44.17408
90,44.9848
91,46.5448
92,44.34314
93,43.61409
94,42.33135
95,41.22651
96,40.75368
97,42.5608
98,38.90181
99,39.68534
100,38.66814
101,40.55917
102,41.33284
103,42.21359
104,44.50284
105,44.30725
106,40.11036
107,40.16282
108,38.6436
109,38.14885
110,40.10634
111,40.99696
112,41.59739
113,40.54304
114,38.11602
115,37.85233
116,37.36061
117,37.34301
118,39.44734
119,39.94403
120,40.1031
